City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
283,tianpeng,30.9866,103.9393,15.26,80,96,0.95,CN,1667676702
284,isla vista,34.4133,-119.861,24.03,55,0,3.09,US,1667676703
285,kailua,21.4022,-157.7394,27.99,77,100,1.79,US,1667676703
286,ranot,7.7777,100.3213,25.08,92,100,3.67,TH,1667676703
287,timbiras,-4.2553,-43.9406,25.69,87,100,1.43,BR,1667676704
288,sept-iles,50.2001,-66.3821,14.29,86,100,2.06,CA,1667676471
289,riviere-au-renard,48.9957,-64.3971,22.16,83,100,2.58,CA,1667676704
290,kaitangata,-46.2817,169.8464,9.47,63,80,2.89,NZ,1667676704
291,cap malheureux,-19.9842,57.6142,23.59,74,0,0.89,MU,1667676705
292,rio grande,-32.035,-52.0986,23.06,72,2,6.51,BR,1667676705
293,puerto escondido,15.85,-97.0667,29.91,69,40,5.95,MX,1667676705
294,tasiilaq,65.6145,-37.6368,0.09,91,100,3.33,GL,1667676706
295,buluang,13.3068,123.3425,25.02,90,61,1.24,PH,1667676706
296,smithers,54.7804,-127.1743,-1.82,93,100,2.06,CA,1667676707
297,coihaique,-45.5752,-72.0662,23.14,39,100,3.08,CL,1667676707
298,san pedro de macoris,18.4616,-69.2972,28.07,84,73,5.65,DO,1667676639
299,huarmey,-10.0681,-78.1522,20.53,69,3,4.69,PE,1667676707
300,praia da vitoria,38.7333,-27.0667,17.14,82,20,4.93,PT,1667676708
301,necochea,-38.5473,-58.7368,23.45,40,72,5.83,AR,1667676709
302,prabumulih,-3.45,104.25,22.73,99,100,1.03,ID,1667676709
303,palora,-1.7,-77.9333,26.06,69,95,0.52,EC,1667676709
304,bertoua,4.5833,13.6833,19.97,77,100,0.76,CM,1667676710
305,turukhansk,65.8167,87.9833,-6.05,96,100,3.46,RU,1667676710
306,pauini,-7.7136,-66.9764,35.19,18,12,0.88,BR,1667676710
307,vila,42.0304,-8.1588,8.49,84,100,1.59,PT,1667676711
308,portland,45.5234,-122.6762,10.99,85,75,5.14,US,1667676461
309,polson,47.6936,-114.1632,4.29,52,49,5.81,US,1667676711
310,marathon,44.9,-89.7668,6.74,91,100,4.12,US,1667676712
311,labytnangi,66.6572,66.4183,-9.12,90,100,2.24,RU,1667676712
312,berlevag,70.8578,29.0864,3.97,81,100,6.17,NO,1667676712
313,nusaybin,37.0778,41.2178,16.57,40,1,1.37,TR,1667676713
314,inirida,3.8653,-67.9239,28.12,68,98,0.25,CO,1667676713
315,yulara,-25.2406,130.9889,20.12,24,2,4.71,AU,1667676714
316,phayakkhaphum phisai,15.5163,103.1937,20.01,81,24,3.35,TH,1667676714
317,susurluk,39.9136,28.1578,16.02,33,5,2.31,TR,1667676714
318,mitu,1.1983,-70.1733,28.16,66,100,1.08,CO,1667676715
319,yumbe,3.4651,31.2469,19.57,91,99,1.99,UG,1667676715
320,belle fourche,44.6714,-103.8522,15.58,32,100,10.58,US,1667676715
321,sakaiminato,35.55,133.2333,8.99,100,75,2.06,JP,1667676716
322,bathsheba,13.2167,-59.5167,29.34,74,40,9.26,BB,1667676716
323,muros,42.7762,-9.0603,15.05,89,100,4.98,ES,1667676716
324,rosarito,32.3333,-117.0333,22.49,42,28,3.58,MX,1667676717
325,revyakino,54.3669,37.6589,-1.92,92,65,0.97,RU,1667676717
326,leningradskiy,69.3833,178.4167,-10.49,84,100,7.09,RU,1667676718
327,sabang,5.8933,95.3214,26.97,74,98,3.57,ID,1667676718
328,kenai,60.5544,-151.2583,-3.81,58,0,12.35,US,1667676718
329,christchurch,-43.5333,172.6333,11.85,73,100,3.6,NZ,1667676564
330,usakos,-22.0,15.6,22.03,22,87,4.35,NA,1667676719
331,qandala,11.472,49.8728,26.1,68,6,1.87,SO,1667676719
332,berdigestyakh,62.0989,126.6992,-13.46,97,100,2.04,RU,1667676720
333,panaba,21.2833,-88.2667,32.94,41,100,3.27,MX,1667676720
334,kalemie,-5.9475,29.1947,21.86,82,100,2.92,CD,1667676721
335,hamilton,39.1834,-84.5333,24.48,53,100,11.83,US,1667676570
336,marignane,43.416,5.2145,12.06,62,75,9.77,FR,1667676436
337,nouadhibou,20.931,-17.0347,24.99,53,0,4.63,MR,1667676721
338,cayenne,4.9333,-52.3333,28.02,83,75,2.06,GF,1667676608
339,tessalit,20.1986,1.0114,25.59,15,0,4.17,ML,1667676722
340,esperance,-33.8667,121.9,12.28,80,6,5.12,AU,1667676661
341,lakatoro,-16.0999,167.4164,27.49,75,11,3.38,VU,1667676722
342,winnemucca,40.973,-117.7357,12.03,47,100,9.77,US,1667676538
343,warsaw,52.2298,21.0118,9.88,94,75,4.63,PL,1667676456
344,indramayu,-6.3264,108.32,26.43,81,100,2.51,ID,1667676723
345,carutapera,-1.195,-46.02,27.72,71,90,3.4,BR,1667676723
346,avera,33.194,-82.5271,26.88,65,100,4.78,US,1667676724
